datetime,open,high,low,close,volume
2022-11-07,1567.42,1608.0,1071.14,1220.78,86465674.85
2022-11-14,1220.78,1292.0,1131.6,1141.57,39062726.81
2022-11-21,1141.53,1238.0,1071.52,1193.26,40218966.302
2022-11-28,1193.25,1312.99,1150.25,1278.82,35075447.945
2022-12-05,1278.82,1304.98,1217.02,1262.43,28555075.138
2022-12-12,1262.43,1354.4,1154.7,1182.45,34757371.352
2022-12-19,1182.45,1239.99,1148.0,1217.96,24405837.9
2022-12-26,1217.97,1233.97,1177.5,1199.96,18089722.053
2023-01-02,1199.96,1296.0,1191.5,1289.65,21000851.278
2023-01-09,1289.64,1644.92,1284.81,1553.47,38952837.206
2023-01-16,1553.48,1682.44,1501.21,1628.14,34365116.845
2023-01-23,1628.13,1663.68,1512.3,1645.67,30642818.86
2023-01-30,1645.67,1717.0,1529.04,1628.98,30751131.705
2023-02-06,1628.98,1699.0,1486.28,1514.49,28838844.53
2023-02-13,1514.48,1744.5,1460.0,1680.31,37972025.712
2023-02-20,1680.46,1720.39,1556.08,1640.49,30547544.385
2023-02-27,1640.51,1677.74,1534.85,1564.06,25835900.621
2023-03-06,1564.06,1597.29,1367.51,1579.26,41347831.644
2023-03-13,1579.26,1846.15,1564.18,1779.99,47488230.487
2023-03-20,1779.98,1860.0,1709.0,1772.63,32366534.394
2023-03-27,1772.63,1848.0,1684.0,1793.56,24189196.494
2023-04-03,1793.55,1945.0,1761.25,1857.84,21948322.451
2023-04-10,1857.84,2146.1,1845.04,2118.09,29774661.255
2023-04-17,2118.09,2126.63,1822.01,1861.3,27530687.229
2023-04-24,1861.3,1964.7,1782.03,1868.41,29332799.243
2023-05-01,1868.41,2023.66,1805.28,1869.5,26722853.07
2023-05-08,1869.51,1887.0,1735.37,1798.25,24457690.1
2023-05-15,1798.26,1848.0,1770.0,1803.89,16399394.4
2023-05-22,1803.9,1930.0,1758.0,1908.36,17982715.804
2023-05-29,1908.36,1928.2,1837.94,1888.54,15422174.833
2023-06-05,1888.54,1898.0,1712.08,1751.8,23640316.624
2023-06-12,1751.8,1775.0,1625.5,1719.99,19741969.125
2023-06-19,1719.99,1938.48,1689.29,1898.27,22477030.092
2023-06-26,1898.26,1964.0,1811.89,1937.69,21710374.572
2023-07-03,1937.69,1978.0,1823.74,1861.81,15818467.411
2023-07-10,1861.81,2031.28,1845.09,1920.97,18321086.539
2023-07-17,1920.97,1935.45,1835.39,1887.86,13384812.696
2023-07-24,1887.85,1890.2,1829.0,1860.76,10487606.053
2023-07-31,1860.77,1879.27,1808.47,1829.38,11788236.421
2023-08-07,1829.39,1878.0,1800.0,1840.09,9501522.787
2023-08-14,1840.09,1855.86,1492.66,1684.16,15453858.559
2023-08-21,1684.15,1703.85,1575.0,1657.59,11894807.933
2023-08-28,1657.59,1747.15,1601.22,1635.02,12863012.733
2023-09-04,1635.03,1680.0,1590.0,1616.47,9361923.86
2023-09-11,1616.46,1653.91,1528.61,1621.62,13400461.637
2023-09-18,1621.63,1668.64,1565.5,1579.99,10587612.804
2023-09-25,1579.99,1780.0,1562.0,1733.39,12771974.123
2023-10-02,1733.4,1743.99,1601.28,1632.02,12365722.331
2023-10-09,1632.03,1635.81,1514.5,1557.25,13295732.162
2023-10-16,1557.25,1667.5,1539.0,1662.83,15116472.893
2023-10-23,1662.82,1872.64,1656.25,1795.49,21771155.679
2023-10-30,1795.48,1914.96,1775.36,1892.49,17692502.053
2023-11-06,1892.49,2139.6,1850.1,2046.08,22730194.863
2023-11-13,2046.07,2120.0,1903.81,2012.46,21802405.911
2023-11-20,2012.45,2135.0,1928.74,2061.97,19537899.805
2023-11-27,2061.97,2219.17,1985.0,2193.24,17041166.886
2023-12-04,2193.25,2407.63,2186.0,2353.97,21056368.821
2023-12-11,2353.99,2356.73,2114.63,2197.93,20380714.033
2023-12-18,2197.93,2345.95,2116.56,2265.43,20484160.893
2023-12-25,2265.42,2455.52,2178.84,2283.85,19791354.962
2024-01-01,2283.84,2434.49,2067.16,2220.87,17996306.49
2024-01-08,2220.87,2719.89,2165.43,2474.36,31872266.505
2024-01-15,2474.3,2613.8,2415.55,2457.02,13745130.151
2024-01-22,2457.02,2466.46,2167.5,2256.0,17166286.489
2024-01-29,2256.0,2392.84,2232.0,2288.66,12491643.831
2024-02-05,2288.66,2539.2,2267.62,2506.1,13701873.842
2024-02-12,2506.11,2899.0,2470.05,2883.58,19407812.344
2024-02-19,2883.56,3131.0,2856.4,3115.24,22521240.639
2024-02-26,3115.24,3531.0,3037.25,3491.77,24144434.667
2024-03-04,3491.78,4003.33,3205.0,3881.22,26642971.069
2024-03-11,3881.32,4098.64,3414.72,3646.99,24595776.946
2024-03-18,3646.99,3648.78,3055.0,3457.16,27071961.01
2024-03-25,3457.16,3684.45,3422.18,3648.79,14368904.414
2024-04-01,3648.8,3649.67,3203.12,3455.99,17026159.446
2024-04-08,3456.0,3735.31,2791.61,3153.16,24516946.489
2024-04-15,3153.16,3277.74,2861.76,3145.73,20502309.083
2024-04-22,3145.74,3365.69,3062.8,3262.28,14605461.304
